"","Tweets","Language","Follower","favourites_count","friends_count","statuses_count","time_zone","id_str","location","coordinates","retweet_count","id_str_tweet","in_reply_to_status_id_str","Weekday","Month","DayOfMonth","Hour","Min","Sec","Timezone","Year"
"78","http://t.co/7MecbtVp <U+043F><U+0441><U+0438><U+0445><U+043E><U+043B><U+043E><U+0433><U+0438><U+0447><U+0435><U+0441><U+043A><U+0438><U+0439> <U+043F><U+043E><U+0440><U+0442><U+0440><U+0435><U+0442> <U+043D><U+0438><U+043A><U+043E><U+043B><U+0430><U+044F> 2","en","1","0","4","23","St. Petersburg","265854041",NA,NA,"0","173440501838643201",NA,"Sat","Feb","25","16","13","32","+0000","2012"
"79","RT @candacecbure: Billy Crystal - LOVE","en","33","1","159","741",NA,"281504859","NC",NA,"29","173958359953838080",NA,"Mon","Feb","27","02","31","19","+0000","2012"
"80","https://t.co/ctBOyG9D @candacecbure Saw this earlier.","en","62","77","633","5732","Central Time (US & Canada)","305242855","Your Timeline",NA,"0","174345045435105281",NA,"Tue","Feb","28","04","07","52","+0000","2012"
"81","@littlecball @alexconstancio7 @liltylert follow us fangirls...? &lt;3","en","17","0","75","37",NA,"506700364","All Around The World <U+2665>",NA,"0","174346731528531968","174346195618111490","Tue","Feb","28","04","14","34","+0000","2012"
"82","@circlecbar to make you feel better,I sleep lately for some 3,4 hours a night,don't even know why #poorme","en","58","15","68","237","Prague","221849285","",NA,"0","174352154776186880","174317508222922752","Tue","Feb","28","04","36","07","+0000","2012"
"83","RT @alecbaldwin: Put @RupertMurdoch on trial","en","417","823","1422","10683","London","17756196","Your mum's house",NA,"172","174353056538963968",NA,"Tue","Feb","28","04","39","42","+0000","2012"
"84","@alecbaldwin Shell Oil are not exactly a moral company.They destroyed a village here,and literally turned friends against each other.","en","156","11","550","2124","Dublin","21858353","Ireland",NA,"0","174473651184349184","174469885039091712","Tue","Feb","28","12","38","54","+0000","2012"
"85","RT @alecbaldwin: Is Shell Oil committing crimes in Nigeria?","en","4","0","116","24",NA,"69675164","lagos. Nigeria",NA,"31","174474838151397376",NA,"Tue","Feb","28","12","43","37","+0000","2012"
"86","Disappointing for Morgan being dropped for Sri Lanka. But he's far far to talented a player not to be back bigger and better #cricket #ecb","en","297","4","476","7230","London","56129160","Isle Of Man",NA,"0","174477350573056000",NA,"Tue","Feb","28","12","53","36","+0000","2012"
"87","@ineedkevnjonas @moniquecbr vi gente falando aqui q era o fasano","en","239","650","268","43502","Santiago","63788656","this place is a zoo",NA,"0","174598654030655490","174598493070036995","Tue","Feb","28","20","55","37","+0000","2012"
"88","@nicolecbriggs nopee bet it's shit !","en","181","2","381","1030",NA,"281944171","essex!",NA,"0","174601728459669504","174601482220486656","Tue","Feb","28","21","07","50","+0000","2012"
"89","@alecbaldwin watching you on @LiveKelly 
:-0)","en","60","0","163","231","Eastern Time (US & Canada)","417901219","Akron Ohio",NA,"0","174859069948043264",NA,"Wed","Feb","29","14","10","25","+0000","2012"
"90","Ilk defa bbme yazma! tarzi bisey yazdim ama mecburdum artik buna","en","329","35","89","10996","Greenland","41442363","",NA,"0","174861678838685699",NA,"Wed","Feb","29","14","20","47","+0000","2012"
"91","love @alecbaldwin as cohost with @LiveKelly #LivewithKelly #funny #great","en","66","4","305","376","Eastern Time (US & Canada)","192906611","New Jersey",NA,"0","174861838218039297",NA,"Wed","Feb","29","14","21","25","+0000","2012"
"92","@Idlady11 @alecbaldwin  Senator robber  true for daughters also! One of four","en","47","5","252","134","Quito","359698631","CT/NYC",NA,"0","174861993390505986","174861239128829952","Wed","Feb","29","14","22","02","+0000","2012"
"93","<U+0430><U+0442><U+0442><U+0435><U+0441><U+0442><U+0430><U+0446><U+0438><U+044F>, <U+0430><U+043A><U+043A><U+0440><U+0435><U+0434><U+0438><U+0442><U+0430><U+0446><U+0438><U+044F> <U+0432><U+044B><U+0441><U+0448><U+0438><U+0445> <U+0443><U+0447><U+0435><U+0431><U+043D><U+044B><U+0445> <U+0437><U+0430><U+0432><U+0435><U+0434><U+0435><U+043D><U+0438><U+0439> http://t.co/ecbTO8vJ","en","20","0","17","37",NA,"499337917",NA,NA,"0","174863146849271810",NA,"Wed","Feb","29","14","26","37","+0000","2012"
"94","@alecbaldwin @Discovery you have a great voice, but why not Sir David? The BBC version with him is unreal.","en","17","0","42","187",NA,"285347762","foco",NA,"0","174987763815428096","174948676500848641","Wed","Feb","29","22","41","48","+0000","2012"
"95","@pandasinthecbus yep that's the down point of living in Ireland ! :L","en","430","13","595","965","Dublin","209761344","IRELAND <U+2708> THE BRONX, USA","-9.44018447;51.90797686","0","175119997608267778","174989788934451201","Thu","Mar","01","07","27","15","+0000","2012"
